Student_ID,Book_ID,Borrow_Date,Return_Date
1002,194,2024-08-04,2024-09-02
1002,194,2024-10-07,2024-10-22
1002,178,2024-04-16,2024-04-30
1002,148,2024-06-18,2024-07-01
1002,179,2024-01-24,2024-02-22
1002,152,2024-05-26,2024-06-22
1002,140,2024-06-07,2024-06-08
1002,107,2024-02-13,2024-02-20
1002,189,2024-08-05,2024-08-29
1002,130,2024-04-29,2024-05-16
1002,128,2024-03-21,2024-04-13
1003,172,2024-01-05,2024-01-12
1003,120,2024-05-28,2024-06-12
1003,185,2024-10-17,2024-11-03
1003,107,2024-04-06,2024-04-29
1003,147,2024-08-16,2024-09-15
1003,171,2024-04-26,2024-04-27
1003,160,2024-04-09,2024-04-13
1003,166,2024-05-19,2024-06-08
1003,129,2024-01-15,2024-02-01
1003,161,2024-06-01,2024-06-22
1003,168,2024-02-01,2024-02-20
1003,113,2024-10-26,2024-11-18
1003,183,2024-04-29,2024-05-23
1003,112,2024-06-30,2024-07-04
1003,159,2024-08-01,2024-08-31
1003,136,2024-05-25,2024-05-28
1003,185,2024-08-08,2024-09-03
1004,167,2024-07-31,2024-08-19
1004,188,2024-05-07,2024-05-10
1004,141,2024-09-01,2024-09-05
1004,114,2024-06-14,2024-06-24
1004,161,2024-02-13,2024-03-12
1004,160,2024-12-23,2025-01-01
1004,137,2024-01-13,2024-01-16
1004,180,2024-03-25,2024-04-08
1004,158,2024-07-27,2024-08-25
1004,103,2024-10-19,2024-10-20
1004,181,2024-11-20,2024-11-26
1004,198,2024-09-28,2024-10-24
1004,141,2024-03-16,2024-03-30
1004,195,2024-04-15,2024-05-02
1004,139,2024-04-08,2024-04-23
1004,183,2024-08-18,2024-09-16
1004,174,2024-10-03,2024-10-04
1004,191,2024-08-09,2024-08-20
1004,180,2024-03-24,2024-04-03
1004,150,2024-07-27,2024-08-16
1005,189,2024-06-24,2024-06-26
1005,145,2024-03-01,2024-03-09
1005,140,2024-06-28,2024-07-28
1005,174,2024-08-16,2024-08-27
1005,143,2024-08-31,2024-09-01
1005,135,2024-06-20,2024-06-28
1005,129,2024-07-09,2024-07-14
1005,144,2024-05-23,2024-06-12
1005,179,2024-08-19,2024-09-11
1005,200,2024-10-17,2024-10-22
1005,190,2024-07-17,2024-08-05
1005,109,2024-09-19,2024-09-29
1005,120,2024-11-04,2024-11-29
1005,157,2024-03-28,2024-04-12
1005,114,2024-07-21,2024-08-03
1005,131,2024-12-08,2024-12-17
1005,120,2024-06-10,2024-06-24
1005,170,2024-04-22,2024-04-28
1005,196,2024-09-03,2024-09-17
1006,192,2024-01-10,2024-02-09
1006,192,2024-01-15,2024-01-19
1006,149,2024-10-15,2024-10-19
1006,165,2024-01-05,2024-01-15
1006,109,2024-07-15,2024-07-17
1006,143,2024-11-07,2024-12-01
1006,128,2024-01-12,2024-02-07
1006,140,2024-04-26,2024-05-01
1006,109,2024-01-19,2024-02-14
1006,195,2024-01-30,2024-02-21
1006,112,2024-05-14,2024-06-03
1006,130,2024-07-26,2024-08-24
1006,116,2024-06-29,2024-07-09
1007,146,2024-11-03,2024-12-02
1007,183,2024-10-26,2024-11-12
1007,163,2024-03-09,2024-03-20
1007,112,2024-01-11,2024-01-28
1007,183,2024-12-02,2024-12-12
1007,121,2024-10-28,2024-11-11
1007,106,2024-01-15,2024-02-11
1007,111,2024-08-26,2024-08-29
1007,110,2024-09-04,2024-09-18
1007,198,2024-10-07,2024-10-12
1007,123,2024-04-23,2024-05-12
1007,122,2024-10-01,2024-10-31
1007,166,2024-08-22,2024-09-10
1007,172,2024-11-03,2024-11-22
1007,119,2024-03-05,2024-03-06
1007,129,2024-05-21,2024-06-20
1007,103,2024-05-10,2024-05-29
1007,125,2024-12-08,2024-12-22
1008,140,2024-12-14,2024-12-23
1008,172,2024-09-14,2024-10-09
